Last Traded Price (LTP),Last Traded Quantity,Volume,Bid Price,Bid Quantity,Ask Price,Ask Quantity,Open Interest (OI),Previous Close Price,Previous Open Interest,expiry_date,strike_price,option_type,underlying,implied volatility,In the money
489.95,0,0,12.45,195,171.65,645,0,12.45,1830,31AUG23,49000.0,CE,ALLBANKS,27.42,False
365.35,0,0,368.0,500,373.7,50,3650,5.5,550,28SEP23,18750.0,PE,MAINIDX,10.44,True
23.4,50,50,23.5,200,23.75,2600,157300,485.5,21350,27JUL23,19150.0,CE,MAINIDX,9.38,False
548.29,50,50,545.75,75,547.2,50,13550,188.25,16825,13JUL23,44300.0,PE,ALLBANKS,14.73,True
1050.0,0,0,1099.2,200,1114.65,200,0,151.0,15200,06JUL23,17450.0,CE,MAINIDX,,True
265.7,20050,20050,265.35,50,265.75,50,1978050,610.5,86600,27JUL23,18500.0,CE,MAINIDX,11.29,True
2600.0,0,0,2600.0,0,2600.0,0,0,1.5,0,28SEP23,47000.0,PE,ALLBANKS,9.75,True
399.0,0,0,399.0,0,399.0,0,0,22.5,150,26DEC24,17000.0,PE,MAINIDX,16.32,False
10.0,0,0,9.6,900,10.3,900,49800,119.75,5050,27JUL23,37000.0,PE,ALLBANKS,30.16,False
90.95,1800,1800,89.55,850,89.95,25,140925,246.75,29800,13JUL23,45000.0,CE,ALLBANKS,14.58,False
1387.75,0,0,1262.9,50,1280.84,600,0,57.0,6050,27JUL23,17350.0,CE,MAINIDX,30.69,True
2.5,0,0,2.5,0,2.5,0,12700,50.5,2000,27JUL23,13500.0,PE,MAINIDX,48.7,False
827.0,25,25,820.3,25,836.05,25,1475,93.5,8825,13JUL23,43400.0,CE,ALLBANKS,16.21,True
3.15,51000,51000,3.15,24600,3.2,12000,2869050,5253.5,210800,06JUL23,19050.0,CE,MAINIDX,20.06,False
72.9,50,50,72.2,50,72.75,25,3625,75.25,5450,13JUL23,42700.0,PE,ALLBANKS,17.31,False
694.1,0,0,682.25,600,697.1,600,3300,113.0,11850,13JUL23,17900.0,CE,MAINIDX,18.29,True
132.0,500,500,131.8,650,132.0,50,114400,332.0,28400,27JUL23,18450.0,PE,MAINIDX,10.89,False
1121.45,0,0,895.75,25,949.3,25,0,19.75,1175,20JUL23,43400.0,CE,ALLBANKS,20.27,True
10.7,0,0,9.1,25,10.5,900,1675,83.25,3600,20JUL23,49500.0,CE,ALLBANKS,24.95,False
0.8,12560,12560,0.75,9680,0.8,520,48840,1480.0,98120,04JUL23,20550.0,CE,FINANCIALS,,False
121.05,5000,5000,120.65,50,121.0,500,107200,516.0,36250,13JUL23,18550.0,PE,MAINIDX,11.44,True
1239.0,0,0,1333.85,400,1371.75,200,0,42.5,3525,27JUL23,45300.0,PE,ALLBANKS,9.15,True
131.94,61250,61250,132.0,150,132.35,250,827000,2315.75,101075,06JUL23,43600.0,PE,ALLBANKS,23.34,False
4000.0,0,0,3913.4,750,4585.95,750,0,32.75,2375,27JUL23,39700.0,CE,ALLBANKS,,True
2.8,275,275,2.75,3525,2.8,900,143300,1085.0,42975,06JUL23,38000.0,PE,ALLBANKS,78.54,False
3.2,0,0,3.0,50,3.8,700,2050,131.0,3550,20JUL23,20150.0,CE,MAINIDX,17.43,False
0.5,0,0,0.45,10600,0.5,1720,53080,2481.6,56400,04JUL23,17000.0,PE,FINANCIALS,,False
80.0,0,0,80.5,50,81.34,900,10050,208.5,6700,27JUL23,41900.0,PE,ALLBANKS,16.03,False
8.0,2400,2400,8.0,50,8.1,1850,14700,503.0,17900,13JUL23,17850.0,PE,MAINIDX,15.1,False
4319.0,0,0,4015.6,1500,4631.89,1500,0,60.5,6050,27JUL23,23000.0,PE,MAINIDX,,True
126.3,9650,9650,126.15,100,126.35,50,310050,464.0,72400,13JUL23,18600.0,CE,MAINIDX,12.19,False
930.0,0,0,875.1,50,949.0,50,6100,23.0,550,31DEC26,18000.0,PE,MAINIDX,18.0,False
1661.0,0,0,1607.0,75,1635.95,25,4800,43.75,4550,27JUL23,42600.0,CE,ALLBANKS,14.76,True
13.25,0,0,13.25,0,13.25,0,0,32.5,0,31AUG23,16450.0,PE,MAINIDX,17.0,False
562.75,0,0,580.85,50,590.45,50,9250,51.5,5000,31AUG23,19200.0,PE,MAINIDX,7.78,True
155.0,113675,113675,154.9,175,155.0,25,1887775,3086.0,339450,06JUL23,44300.0,CE,ALLBANKS,22.79,False
112.0,50,50,111.4,100,112.9,150,162800,144.0,8900,31AUG23,18100.0,PE,MAINIDX,11.25,False
465.8,0,0,451.1,8750,459.35,50,2800,132.0,6300,13JUL23,18150.0,CE,MAINIDX,16.18,True
113.65,50,50,111.1,50,113.65,50,105250,140.5,6150,28SEP23,19500.0,CE,MAINIDX,10.05,False
1200.05,0,0,1200.05,0,1200.05,0,0,16.5,0,27JUN24,19000.0,CE,MAINIDX,13.16,False
41.05,0,0,37.6,300,0.0,0,0,38.5,0,27JUN24,14000.0,PE,MAINIDX,18.52,False
10.95,0,0,10.95,0,10.95,0,800,71.75,2925,27JUL23,50500.0,CE,ALLBANKS,23.74,False
7.8,162240,162240,7.75,8040,7.85,14280,2054440,6622.8,250360,04JUL23,19700.0,CE,FINANCIALS,,False
256.75,760,760,257.6,400,258.55,200,32600,312.8,26840,04JUL23,19650.0,PE,FINANCIALS,,True
82.4,0,0,66.2,15,81.0,30,345,24.6,210,28SEP23,38000.0,PE,ALLBANKS,19.86,False
1381.2,0,0,1321.65,1900,1354.5,450,0,136.0,13600,06JUL23,19900.0,PE,MAINIDX,71.01,True
2138.0,0,0,2170.55,100,2201.15,450,0,51.5,6500,31AUG23,16500.0,CE,MAINIDX,,True
282.0,100,100,281.8,50,286.7,150,607650,151.5,7600,28DEC23,20000.0,CE,MAINIDX,12.44,False
1454.55,0,0,1372.2,75,1425.55,75,1000,66.5,6100,13JUL23,42700.0,CE,ALLBANKS,20.41,True
184.95,15,15,183.75,15,187.75,15,24750,19.2,855,31AUG23,41500.0,PE,ALLBANKS,15.35,False
3.25,0,0,3.25,0,3.25,0,0,94.5,0,27JUL23,15950.0,PE,MAINIDX,25.95,False
1872.55,0,0,1872.55,0,1872.55,0,0,0.0,885,31AUG23,45800.0,PE,ALLBANKS,13.76,True
297.1,350,350,298.25,300,299.1,700,95600,315.0,20900,27JUL23,18450.0,CE,MAINIDX,11.39,True
276.95,0,0,246.4,40,267.55,80,2360,32.4,1520,11JUL23,19250.0,CE,FINANCIALS,16.94,True
400.0,0,0,400.0,0,400.0,0,0,25.5,0,25DEC25,13000.0,PE,MAINIDX,27.07,False
79.15,1000,1000,79.15,300,80.34,50,48400,156.5,14800,20JUL23,18800.0,CE,MAINIDX,10.55,False
1268.25,0,0,1204.8,100,1230.15,200,18425,69.75,4050,27JUL23,43100.0,CE,ALLBANKS,14.64,True
230.8,0,0,236.65,900,257.35,50,2050,39.5,550,20JUL23,18750.0,PE,MAINIDX,8.77,True
